product_id,product_name,category,tier,unit_price,base_demand,reorder_point,lead_time_days
SAI-M007,Sainsbury's Smoked Back Bacon 300g,Meat & Fish,Sainsbury's,2.75,35,25,2
SAI-M008,Sainsbury's Atlantic Salmon Fillets 240g,Meat & Fish,Sainsbury's,5.5,25,18,2
SAI-M009,Taste the Difference Scottish Salmon Fillet 2pk,Meat & Fish,Taste the Difference,7.0,15,10,2
SAI-M010,Sainsbury's Cod Fillets 420g,Meat & Fish,Sainsbury's,4.75,20,14,3
SAI-P001,Sainsbury's Bananas Loose,Fresh Produce,Sainsbury's,0.99,110,80,1
SAI-P002,Sainsbury's Easy Peelers 600g,Fresh Produce,Sainsbury's,1.5,60,45,1
SAI-P003,Sainsbury's British Vine Tomatoes 500g,Fresh Produce,Sainsbury's,1.2,55,40,1
SAI-P004,Sainsbury's Tenderstem Broccoli 200g,Fresh Produce,Sainsbury's,1.5,42,30,1
SAI-P005,Sainsbury's Avocado,Fresh Produce,Sainsbury's,0.8,48,35,2
SAI-P006,Sainsbury's Baby Spinach 200g,Fresh Produce,Sainsbury's,1.6,38,28,1
SAI-P007,Sainsbury's Maris Piper Potatoes 2.5kg,Fresh Produce,Sainsbury's,1.75,65,48,2
SAI-P008,Taste the Difference Chantenay Carrots 300g,Fresh Produce,Taste the Difference,1.8,30,22,2
SAI-P009,Sainsbury's Iceberg Lettuce,Fresh Produce,Sainsbury's,0.59,50,36,1
SAI-P010,Sainsbury's British Strawberries 400g,Fresh Produce,Sainsbury's,2.5,35,25,1
SAI-DK01,Sainsbury's Pure Orange Juice 1L,Drinks,Sainsbury's,1.55,52,38,2
SAI-DK02,Innocent Orange Juice 900ml,Drinks,Branded,2.8,30,22,3
SAI-DK03,Sainsbury's Cola 2L,Drinks,Sainsbury's,1.15,60,45,2
SAI-DK04,Coca-Cola Original 6x330ml,Drinks,Branded,4.5,42,30,3
SAI-DK05,Sainsbury's Still Water 6x500ml,Drinks,Sainsbury's,1.6,48,35,2
SAI-DK06,Highland Spring Sparkling Water 6x500ml,Drinks,Branded,3.0,28,20,3
SAI-DK07,Taste the Difference Fairtrade Orange Juice 1L,Drinks,Taste the Difference,2.2,20,14,2
SAI-DK08,Sainsbury's Apple Juice 1L,Drinks,Sainsbury's,1.3,38,28,2
SAI-G001,Sainsbury's Long Grain White Rice 1kg,Ambient Grocery,Sainsbury's,1.25,35,25,5
SAI-G002,Sainsbury's Spaghetti 500g,Ambient Grocery,Sainsbury's,0.9,45,32,5
SAI-G003,Heinz Baked Beans in Tomato Sauce 415g,Ambient Grocery,Branded,0.9,70,52,5
SAI-G004,Sainsbury's Chopped Tomatoes 400g,Ambient Grocery,Sainsbury's,0.65,55,40,5
SAI-G005,Taste the Difference Italian Passata 690g,Ambient Grocery,Taste the Difference,1.35,25,18,5
SAI-G006,Sainsbury's Plain Flour 1.5kg,Ambient Grocery,Sainsbury's,1.1,30,22,5
SAI-G007,Kellogg's Cornflakes 500g,Ambient Grocery,Branded,2.75,35,25,5
SAI-G008,Sainsbury's Porridge Oats 1kg,Ambient Grocery,Sainsbury's,1.2,42,30,5
SAI-G009,Sainsbury's Baked Beans 4pk x 415g,Ambient Grocery,Sainsbury's,2.25,40,30,5
SAI-G010,Taste the Difference Crunchy Peanut Butter 280g,Ambient Grocery,Taste the Difference,2.5,18,12,5
SAI-S001,Walkers Ready Salted Crisps 6pk,Snacks,Branded,2.0,55,40,3
SAI-S002,Doritos Chilli Heatwave 150g,Snacks,Branded,1.8,45,32,3
SAI-S003,Sainsbury's Salted Popcorn 100g,Snacks,Sainsbury's,0.85,38,28,4
SAI-S004,Cadbury Dairy Milk 200g,Snacks,Branded,2.5,60,45,3
SAI-S005,Taste the Difference 70% Dark Chocolate 100g,Snacks,Taste the Difference,1.75,25,18,3
SAI-S006,McVitie's Digestive Biscuits 400g,Snacks,Branded,1.5,48,35,4
SAI-S007,Sainsbury's Houmous 200g,Snacks,Sainsbury's,1.0,42,30,3
SAI-S008,Pringles Original 200g,Snacks,Branded,2.0,40,28,3
SAI-F001,Sainsbury's Garden Peas 1kg,Frozen,Sainsbury's,1.25,38,28,5
SAI-F002,Sainsbury's Oven Chips 1.5kg,Frozen,Sainsbury's,1.45,55,40,5
SAI-F003,Taste the Difference Stone Baked Margherita 435g,Frozen,Taste the Difference,4.5,20,14,5
SAI-F004,Sainsbury's Beef Lasagne 400g,Frozen,Sainsbury's,2.75,30,22,5
SAI-F005,Sainsbury's Vanilla Ice Cream 1L,Frozen,Sainsbury's,2.0,28,20,5
SAI-F006,Taste the Difference Clotted Cream Ice Cream 1L,Frozen,Taste the Difference,4.0,15,10,5
SAI-F007,Sainsbury's Fish Fingers 10pk,Frozen,Sainsbury's,2.5,35,25,4
SAI-H001,Sainsbury's Toilet Tissue 9 Rolls,Household,Sainsbury's,3.5,40,30,5
SAI-H002,Andrex Gentle Clean Toilet Tissue 9 Rolls,Household,Branded,5.0,30,22,5
SAI-H003,Sainsbury's Washing Up Liquid 500ml,Household,Sainsbury's,0.89,30,22,7
SAI-H004,Fairy Platinum Plus Washing Up Liquid 650ml,Household,Branded,2.75,25,18,7
SAI-H005,Sainsbury's Ibuprofen 200mg 16 Tablets,Health & Beauty,Sainsbury's,1.49,22,16,7
SAI-H006,Sainsbury's Vitamin D 1000IU 90 Tablets,Health & Beauty,Sainsbury's,3.5,15,10,7
SAI-GEN0077,Sainsbury's Chilled Pizza 400g,Frozen,Sainsbury's,7.15,61,44,3
SAI-GEN0078,Taste the Difference Handmade Laundry Pods 20pk,Household,Taste the Difference,6.36,28,18,2
SAI-GEN0079,Sainsbury's Smoked Squash 1L,Drinks,Sainsbury's,5.99,48,33,4
SAI-GEN0080,Taste the Difference Value Prawns 200g,Meat & Fish,Taste the Difference,11.76,26,17,4
SAI-GEN0081,Sainsbury's Smoked Sourdough 400g,Fresh Bakery,Sainsbury's,3.09,47,28,2
SAI-GEN0082,Sainsbury's So Good Peanut Butter 280g,Ambient Grocery,So Good,2.48,63,32,2
SAI-GEN0083,Sainsbury's Unsalted Yogurt 500g,Dairy & Eggs,Sainsbury's,7.7,61,41,2
SAI-GEN0084,Sainsbury's So Good Shower Gel 250ml,Health & Beauty,So Good,2.27,62,37,2
SAI-GEN0085,Sainsbury's Frozen Coffee 200g,Drinks,Sainsbury's,7.55,64,48,2
SAI-GEN0086,Taste the Difference Chilled Chopped Tomatoes 400g,Ambient Grocery,Taste the Difference,1.84,20,10,2
SAI-GEN0087,Sainsbury's Roasted Lasagne 400g,Frozen,Sainsbury's,1.97,53,30,4
SAI-GEN0088,Sainsbury's Salted Shampoo 250ml,Health & Beauty,Sainsbury's,3.77,61,34,1
SAI-GEN0089,Nivea Spicy Still Water 6x500ml,Drinks,Branded,7.77,46,24,2
SAI-GEN0090,Sainsbury's Free Range Lemons 3pk,Fresh Produce,Sainsbury's,6.88,55,33,1
SAI-GEN0091,Sainsbury's So Good Plasters 40pk,Health & Beauty,So Good,4.13,90,46,2
SAI-GEN0092,Sainsbury's So Good Cream 300ml,Dairy & Eggs,So Good,1.46,90,61,1
SAI-GEN0093,Sainsbury's Classic Washing Up Liquid 500ml,Household,Sainsbury's,6.49,45,24,2
SAI-GEN0094,Sainsbury's Frozen Paracetamol 16pk,Health & Beauty,Sainsbury's,7.96,75,38,1
SAI-GEN0095,Taste the Difference Mixed Washing Up Liquid 500ml,Household,Taste the Difference,0.75,23,11,1
SAI-GEN0096,Sainsbury's Chilled Baguette,Fresh Bakery,Sainsbury's,1.93,46,29,2
SAI-GEN0097,Sainsbury's Value Mixed Veg 1kg,Frozen,Sainsbury's,7.0,61,41,2
SAI-GEN0098,Sainsbury's Sweet Oranges 5pk,Fresh Produce,Sainsbury's,6.14,57,36,1
SAI-GEN0099,Taste the Difference Premium Bagels 5pk,Fresh Bakery,Taste the Difference,9.21,28,19,1
SAI-GEN0100,Sainsbury's Stone Baked Grapes 500g,Fresh Produce,Sainsbury's,4.6,38,23,1
SAI-GEN0101,Sainsbury's So Good Bleach 750ml,Household,So Good,5.28,66,46,2
SAI-GEN0102,Taste the Difference Scottish Grapes 500g,Fresh Produce,Taste the Difference,10.27,17,13,1
SAI-GEN0103,Sainsbury's Smoked Chicken Breast 600g,Meat & Fish,Sainsbury's,7.37,66,36,4
SAI-GEN0104,Sainsbury's Frozen Rice Cakes 130g,Snacks,Sainsbury's,0.78,42,22,4
SAI-GEN0105,Sainsbury's Scottish Prawns 200g,Meat & Fish,Sainsbury's,3.77,36,26,3
SAI-GEN0106,Sainsbury's Smoked Apples 6pk,Fresh Produce,Sainsbury's,4.75,48,32,1
SAI-GEN0107,Taste the Difference Frozen Tortilla Chips 200g,Snacks,Taste the Difference,3.74,32,17,2
SAI-GEN0108,Sainsbury's Scottish Cream 300ml,Dairy & Eggs,Sainsbury's,4.52,61,38,1
SAI-GEN0109,Taste the Difference Sweet Onions 1kg,Fresh Produce,Taste the Difference,3.85,26,16,1
SAI-GEN0110,Sainsbury's Sweet Crackers 150g,Snacks,Sainsbury's,4.42,50,37,3
SAI-GEN0111,Sainsbury's Stone Baked Spinach 200g,Fresh Produce,Sainsbury's,2.65,47,30,1
SAI-GEN0112,Andrex Handmade Coffee 200g,Drinks,Branded,5.71,50,29,2
SAI-GEN0113,Sainsbury's Classic Wraps 8pk,Fresh Bakery,Sainsbury's,2.61,50,34,2
SAI-GEN0114,Taste the Difference Salted Cola 2L,Drinks,Taste the Difference,11.64,34,23,1
SAI-GEN0115,Sainsbury's Corn Fed Beef Mince 500g,Meat & Fish,Sainsbury's,1.93,39,28,3
SAI-GEN0116,Sainsbury's Unsalted Yogurt 500g,Dairy & Eggs,Sainsbury's,6.9,62,34,2
SAI-GEN0117,Colgate Stone Baked Apple Juice 1L,Drinks,Branded,3.26,53,32,1
SAI-GEN0118,Sainsbury's Chilled Lemons 3pk,Fresh Produce,Sainsbury's,2.72,43,32,2
SAI-GEN0119,Sainsbury's Smoked Sourdough 400g,Fresh Bakery,Sainsbury's,5.22,56,37,1
SAI-GEN0120,Sainsbury's Spicy Mozzarella 125g,Dairy & Eggs,Sainsbury's,4.77,45,29,2
SAI-GEN0121,Taste the Difference Fresh Onions 1kg,Fresh Produce,Taste the Difference,9.09,21,11,1
SAI-GEN0122,Sainsbury's Premium Carrots 1kg,Fresh Produce,Sainsbury's,5.58,62,40,1
SAI-GEN0123,Taste the Difference Spicy Pizza 400g,Frozen,Taste the Difference,5.94,24,15,4
SAI-GEN0124,Nivea Sweet Toilet Roll 9pk,Household,Branded,9.4,50,30,4
SAI-GEN0125,Sainsbury's British Baked Beans 415g,Ambient Grocery,Sainsbury's,7.79,70,40,2
SAI-GEN0126,Sainsbury's Smoked Mixed Veg 1kg,Frozen,Sainsbury's,1.56,42,26,3
SAI-GEN0127,Sainsbury's Salted Wholemeal Bread 800g,Fresh Bakery,Sainsbury's,2.08,67,47,1
SAI-GEN0128,Sainsbury's Unsalted Jam 340g,Ambient Grocery,Sainsbury's,4.16,72,37,2
SAI-GEN0129,Sainsbury's Classic Foil 10m,Household,Sainsbury's,7.99,51,30,2
SAI-GEN0130,Sainsbury's Mixed Plasters 40pk,Health & Beauty,Sainsbury's,3.09,38,22,3
SAI-GEN0131,Sainsbury's So Good Chopped Tomatoes 400g,Ambient Grocery,So Good,4.58,83,42,2
SAI-GEN0132,Sainsbury's Handmade Rolls 6pk,Fresh Bakery,Sainsbury's,0.9,47,33,1
SAI-GEN0133,Sainsbury's Stone Baked Rice 1kg,Ambient Grocery,Sainsbury's,3.61,50,26,4
SAI-GEN0134,Taste the Difference Frozen Rice 1kg,Ambient Grocery,Taste the Difference,6.62,35,25,2
SAI-GEN0135,Sainsbury's So Good Beef Mince 500g,Meat & Fish,So Good,5.26,76,49,4
SAI-GEN0136,Sainsbury's So Good Mixed Veg 1kg,Frozen,So Good,4.8,78,58,1
SAI-GEN0137,Sainsbury's Roasted Apple Juice 1L,Drinks,Sainsbury's,4.52,58,30,4
SAI-GEN0138,Sainsbury's Spicy Cotton Pads 100pk,Health & Beauty,Sainsbury's,5.93,59,38,3
SAI-GEN0139,Taste the Difference Classic White Bread 800g,Fresh Bakery,Taste the Difference,10.88,28,15,1
SAI-GEN0140,Sainsbury's Premium Bananas,Fresh Produce,Sainsbury's,1.3,45,35,1
SAI-GEN0141,Nestle British Fabric Conditioner 1L,Household,Branded,8.88,38,29,3
SAI-GEN0142,Sainsbury's Roasted Wraps 8pk,Fresh Bakery,Sainsbury's,1.31,51,37,2
SAI-GEN0143,Sainsbury's Organic Lasagne 400g,Frozen,Sainsbury's,1.56,57,33,1
SAI-GEN0144,Sainsbury's Roasted Lasagne 400g,Frozen,Sainsbury's,1.59,56,29,1
SAI-GEN0145,Sainsbury's British Oven Chips 1.5kg,Frozen,Sainsbury's,6.18,45,30,2
SAI-GEN0146,Taste the Difference Salted Potatoes 2.5kg,Fresh Produce,Taste the Difference,11.45,33,17,2
SAI-GEN0147,Sainsbury's Unsalted Bin Liners 20pk,Household,Sainsbury's,6.65,75,53,2
SAI-GEN0148,Sainsbury's Value Broccoli 300g,Fresh Produce,Sainsbury's,0.65,43,25,1
SAI-GEN0149,Sainsbury's finest Crackers 150g,Snacks,Sainsbury's,3.84,71,49,3
SAI-GEN0150,Kellogg's Frozen Fabric Conditioner 1L,Household,Branded,6.8,41,21,4
SAI-GEN0151,Sainsbury's Fresh Baguette,Fresh Bakery,Sainsbury's,6.55,41,27,2
SAI-GEN0152,Sainsbury's So Good Chicken Nuggets 500g,Frozen,So Good,2.91,86,51,2
SAI-GEN0153,Taste the Difference Frozen Salmon Fillets 240g,Meat & Fish,Taste the Difference,11.14,15,9,3
SAI-GEN0154,Sainsbury's finest Yogurt 500g,Dairy & Eggs,Sainsbury's,7.22,52,29,2
SAI-GEN0155,Sainsbury's So Good Fish Fingers 10pk,Frozen,So Good,0.8,83,63,3
SAI-GEN0156,Taste the Difference Value Mozzarella 125g,Dairy & Eggs,Taste the Difference,11.56,35,20,2
SAI-GEN0157,Sainsbury's Fresh Kitchen Roll 2pk,Household,Sainsbury's,4.69,54,31,3
SAI-GEN0158,Sainsbury's Value Sourdough 400g,Fresh Bakery,Sainsbury's,7.77,70,35,2
SAI-GEN0159,Taste the Difference Handmade Lemons 3pk,Fresh Produce,Taste the Difference,2.52,23,14,2
SAI-GEN0160,Sainsbury's Smoked Lemonade 2L,Drinks,Sainsbury's,1.9,50,36,4
SAI-GEN0161,Sainsbury's Organic Wraps 8pk,Fresh Bakery,Sainsbury's,2.64,48,36,1
SAI-GEN0162,Kellogg's Handmade Toothpaste 75ml,Health & Beauty,Branded,8.61,35,26,1
SAI-GEN0163,Sainsbury's Scottish Rice 1kg,Ambient Grocery,Sainsbury's,7.84,73,49,4
SAI-GEN0164,Sainsbury's Value Tomatoes 500g,Fresh Produce,Sainsbury's,6.0,57,35,2
SAI-GEN0165,Taste the Difference Unsalted Milk 4 Pints,Dairy & Eggs,Taste the Difference,9.24,26,15,1
SAI-GEN0166,Sainsbury's British Pizza 400g,Frozen,Sainsbury's,6.8,42,31,2
SAI-GEN0167,Sainsbury's So Good Deodorant 150ml,Health & Beauty,So Good,2.44,72,52,2
SAI-GEN0168,L'Oreal finest Tortilla Chips 200g,Snacks,Branded,0.9,33,23,2
SAI-GEN0169,Sainsbury's So Good Fish Fingers 10pk,Frozen,So Good,0.61,53,30,3
SAI-GEN0170,Taste the Difference Handmade Lasagne 400g,Frozen,Taste the Difference,7.21,17,11,4
SAI-GEN0171,Sainsbury's So Good Tea Bags 80pk,Drinks,So Good,1.26,83,50,1
SAI-GEN0172,Sainsbury's Smoked Chicken Nuggets 500g,Frozen,Sainsbury's,0.97,46,27,3
SAI-GEN0173,Sainsbury's Mixed Beef Mince 500g,Meat & Fish,Sainsbury's,5.51,58,37,2
SAI-GEN0174,Sainsbury's Handmade Eggs 6pk,Dairy & Eggs,Sainsbury's,3.32,43,22,1
SAI-GEN0175,Nivea British Peanut Butter 280g,Ambient Grocery,Branded,9.89,53,30,3
SAI-GEN0176,Sainsbury's Roasted Eggs 12pk,Dairy & Eggs,Sainsbury's,3.18,38,19,1
SAI-GEN0177,Sainsbury's Value Peas 1kg,Frozen,Sainsbury's,5.1,67,43,1
SAI-GEN0178,Sainsbury's Premium Wholemeal Bread 800g,Fresh Bakery,Sainsbury's,5.78,73,55,2
SAI-GEN0179,Sainsbury's So Good Crisps 6pk,Snacks,So Good,3.18,65,43,4
SAI-GEN0180,Sainsbury's British White Bread 800g,Fresh Bakery,Sainsbury's,1.13,37,23,1
SAI-GEN0181,Taste the Difference Unsalted Muffins 4pk,Fresh Bakery,Taste the Difference,9.38,34,27,1
SAI-GEN0182,Sainsbury's Stone Baked Mixed Veg 1kg,Frozen,Sainsbury's,3.38,44,24,4
SAI-GEN0183,Sainsbury's So Good Turkey Mince 500g,Meat & Fish,So Good,3.32,62,48,1
SAI-GEN0184,Sainsbury's Sweet Squash 1L,Drinks,Sainsbury's,0.66,63,38,1
SAI-GEN0185,Sainsbury's So Good Cotton Pads 100pk,Health & Beauty,So Good,0.42,68,52,3
SAI-GEN0186,Sainsbury's Value Bacon 300g,Meat & Fish,Sainsbury's,1.44,68,53,4
SAI-GEN0187,Cadbury Stone Baked Sparkling Water 6x500ml,Drinks,Branded,5.38,50,25,1
SAI-GEN0188,Taste the Difference Frozen Muffins 4pk,Fresh Bakery,Taste the Difference,8.42,28,16,2
SAI-GEN0189,Sainsbury's Corn Fed Rice Cakes 130g,Snacks,Sainsbury's,6.55,63,32,2
SAI-GEN0190,Sainsbury's Roasted Cotton Pads 100pk,Health & Beauty,Sainsbury's,4.25,62,34,2
SAI-GEN0191,Sainsbury's Smoked Eggs 6pk,Dairy & Eggs,Sainsbury's,7.81,70,41,2
SAI-GEN0192,Sainsbury's So Good Coffee 200g,Drinks,So Good,4.15,56,43,3
SAI-GEN0193,Taste the Difference Roasted Oven Chips 1.5kg,Frozen,Taste the Difference,6.23,24,17,4
SAI-GEN0194,McVitie's Organic Olive Oil 500ml,Ambient Grocery,Branded,8.11,41,26,2
SAI-GEN0195,Sainsbury's British Milk 4 Pints,Dairy & Eggs,Sainsbury's,3.11,56,36,1
SAI-GEN0196,Sainsbury's So Good White Bread 800g,Fresh Bakery,So Good,4.19,56,40,1
SAI-GEN0197,Sainsbury's Value Ibuprofen 16pk,Health & Beauty,Sainsbury's,7.63,52,26,4
SAI-GEN0198,Sainsbury's Mixed Oven Chips 1.5kg,Frozen,Sainsbury's,2.88,58,33,4
SAI-GEN0199,Taste the Difference British Rolls 6pk,Fresh Bakery,Taste the Difference,1.32,18,11,1
SAI-GEN0200,Sainsbury's finest Pork Sausages 8pk,Meat & Fish,Sainsbury's,3.19,49,37,4
SAI-GEN0201,Taste the Difference Stone Baked Milk 4 Pints,Dairy & Eggs,Taste the Difference,5.16,26,15,2
SAI-GEN0202,Sainsbury's Value Soup 400g,Ambient Grocery,Sainsbury's,3.59,44,22,2
SAI-GEN0203,Sainsbury's Unsalted Shampoo 250ml,Health & Beauty,Sainsbury's,3.29,68,52,3
SAI-GEN0204,Sainsbury's finest Strawberries 400g,Fresh Produce,Sainsbury's,3.41,53,41,2
SAI-GEN0205,Sainsbury's Sweet Wholemeal Bread 800g,Fresh Bakery,Sainsbury's,0.82,60,40,2
SAI-GEN0206,Sainsbury's Scottish Baked Beans 415g,Ambient Grocery,Sainsbury's,1.21,63,46,3
SAI-GEN0207,Sainsbury's Frozen Sponges 4pk,Household,Sainsbury's,3.86,44,32,4
SAI-GEN0208,Sainsbury's Free Range Hand Wash 250ml,Health & Beauty,Sainsbury's,5.49,42,30,4
SAI-GEN0209,Sainsbury's Roasted Blueberries 150g,Fresh Produce,Sainsbury's,2.21,56,34,1
SAI-GEN0210,Sainsbury's So Good Pork Sausages 8pk,Meat & Fish,So Good,1.56,73,39,1
SAI-GEN0211,Sainsbury's Premium Lasagne 400g,Frozen,Sainsbury's,2.37,55,32,4
SAI-GEN0212,Sainsbury's Stone Baked Hash Browns 700g,Frozen,Sainsbury's,1.62,50,39,1
SAI-GEN0213,Sainsbury's Chilled Fish Fingers 10pk,Frozen,Sainsbury's,0.9,57,43,3
SAI-GEN0214,Sainsbury's finest Cola 2L,Drinks,Sainsbury's,5.29,45,34,1
SAI-GEN0215,Sainsbury's British Wholemeal Bread 800g,Fresh Bakery,Sainsbury's,5.29,64,48,2
SAI-GEN0216,Sainsbury's Sweet Bagels 5pk,Fresh Bakery,Sainsbury's,7.69,73,58,1
SAI-GEN0217,Taste the Difference Chilled Kitchen Roll 2pk,Household,Taste the Difference,4.54,32,19,1
SAI-GEN0218,Sainsbury's Scottish Oranges 5pk,Fresh Produce,Sainsbury's,3.7,68,42,2
SAI-GEN0219,Sainsbury's So Good Milk 4 Pints,Dairy & Eggs,So Good,1.6,71,50,2
SAI-GEN0220,Sainsbury's British White Bread 800g,Fresh Bakery,Sainsbury's,5.74,37,21,1
SAI-GEN0221,Sainsbury's Unsalted Chicken Breast 600g,Meat & Fish,Sainsbury's,4.08,67,35,3
SAI-GEN0222,Sainsbury's Fresh Brie 200g,Dairy & Eggs,Sainsbury's,1.29,52,36,2
SAI-GEN0223,Sainsbury's British Shampoo 250ml,Health & Beauty,Sainsbury's,3.05,48,33,3
SAI-GEN0224,McVitie's Stone Baked Kitchen Roll 2pk,Household,Branded,7.97,55,32,2
SAI-GEN0225,Nestle Free Range Toilet Roll 9pk,Household,Branded,3.22,42,33,3
SAI-GEN0226,Nivea Unsalted Crisps 6pk,Snacks,Branded,6.71,58,29,4
SAI-GEN0227,Sainsbury's Frozen Lamb Chops 400g,Meat & Fish,Sainsbury's,4.7,65,47,1
SAI-GEN0228,Kellogg's Organic Flour 1.5kg,Ambient Grocery,Branded,2.54,53,33,3
SAI-GEN0229,Kellogg's Premium Bin Liners 20pk,Household,Branded,8.74,56,40,3
SAI-GEN0230,Sainsbury's Classic Pizza 400g,Frozen,Sainsbury's,2.76,47,31,4
SAI-GEN0231,Taste the Difference Handmade Eggs 6pk,Dairy & Eggs,Taste the Difference,2.39,18,12,1
SAI-GEN0232,Sainsbury's Classic Washing Up Liquid 500ml,Household,Sainsbury's,5.71,54,28,4
SAI-GEN0233,Sainsbury's So Good Flour 1.5kg,Ambient Grocery,So Good,1.47,65,41,4
SAI-GEN0234,Sainsbury's Value Shower Gel 250ml,Health & Beauty,Sainsbury's,4.62,58,43,3
SAI-GEN0235,Colgate British Ibuprofen 16pk,Health & Beauty,Branded,6.81,44,22,4
SAI-GEN0236,Taste the Difference Spicy Plasters 40pk,Health & Beauty,Taste the Difference,1.91,18,11,1
SAI-GEN0237,Sainsbury's Value Toothpaste 75ml,Health & Beauty,Sainsbury's,7.6,50,29,1
SAI-GEN0238,Sainsbury's Value Oats 1kg,Ambient Grocery,Sainsbury's,4.04,43,32,4
SAI-GEN0239,Sainsbury's Classic Butter 250g,Dairy & Eggs,Sainsbury's,0.74,66,38,2
SAI-GEN0240,Sainsbury's Mixed Milk 2 Pints,Dairy & Eggs,Sainsbury's,5.39,41,22,1
SAI-GEN0241,Sainsbury's finest Milk 2 Pints,Dairy & Eggs,Sainsbury's,6.8,73,40,2
SAI-GEN0242,Taste the Difference Spicy Cream 300ml,Dairy & Eggs,Taste the Difference,9.57,31,21,1
SAI-GEN0243,Sainsbury's Corn Fed Apple Juice 1L,Drinks,Sainsbury's,4.23,61,41,3
SAI-GEN0244,Sainsbury's finest Rolls 6pk,Fresh Bakery,Sainsbury's,4.57,75,56,2
SAI-GEN0245,Sainsbury's Scottish Mozzarella 125g,Dairy & Eggs,Sainsbury's,2.34,69,34,1
SAI-GEN0246,Sainsbury's Fresh Oven Chips 1.5kg,Frozen,Sainsbury's,7.46,45,27,1
SAI-GEN0247,Colgate Salted Plasters 40pk,Health & Beauty,Branded,2.25,60,32,2
SAI-GEN0248,Sainsbury's Salted Milk 2 Pints,Dairy & Eggs,Sainsbury's,3.38,54,28,2
SAI-GEN0249,Sainsbury's So Good Plasters 40pk,Health & Beauty,So Good,4.57,78,41,3
SAI-GEN0250,Sainsbury's Chilled Lamb Chops 400g,Meat & Fish,Sainsbury's,2.65,71,36,2
SAI-GEN0251,Sainsbury's So Good Toilet Roll 9pk,Household,So Good,0.91,89,62,2
SAI-GEN0252,Sainsbury's Classic Cream 300ml,Dairy & Eggs,Sainsbury's,2.53,62,33,2
SAI-GEN0253,Sainsbury's Chilled Lemons 3pk,Fresh Produce,Sainsbury's,1.05,41,29,1
SAI-GEN0254,Taste the Difference Premium Plasters 40pk,Health & Beauty,Taste the Difference,9.25,28,15,1
SAI-GEN0255,Sainsbury's Handmade Eggs 6pk,Dairy & Eggs,Sainsbury's,6.94,64,37,1
SAI-GEN0256,Taste the Difference Unsalted Apple Juice 1L,Drinks,Taste the Difference,7.21,16,11,3
SAI-GEN0257,Sainsbury's finest Eggs 6pk,Dairy & Eggs,Sainsbury's,6.23,42,26,2
SAI-GEN0258,Sainsbury's Unsalted Baguette,Fresh Bakery,Sainsbury's,5.58,71,41,2
SAI-GEN0259,Sainsbury's Free Range Rolls 6pk,Fresh Bakery,Sainsbury's,6.3,45,30,2
